,id,name_trans,about_trans
0,C_584313,giới thiệu về zi zhi tong jian,"thông qua sự hướng dẫn của giáo viên, học sinh có thể đi sâu vào nội dung của văn bản kinh điển này, có được cái nhìn tổng quan về hàng nghìn năm lịch sử, nâng cao trình độ đọc hiểu hán học và trân trọng sự khôn ngoan của cuộc sống."
1,C_584329,giải tích - lý thuyết giới hạn và hàm số một biến,"khóa học này là một khóa học toán cơ bản về khoa học và kỹ thuật, cung cấp sự giới thiệu toàn diện và có hệ thống về phép tính hàm một biến. khóa học không chỉ duy trì các đặc điểm chặt chẽ và trừu tượng của toán học mà còn chú ý đến khía cạnh trực quan và trực quan của các khái niệm toán học."
2,C_584381,chụp ảnh tin tức,"nắm vững các kỹ năng chụp ảnh cơ bản, hiểu cách hoạt động của báo chí ảnh, rèn luyện khả năng quan sát và tình yêu cuộc sống, phát triển khả năng thẩm mỹ và phê phán hình ảnh cũng như phát triển sở thích suốt đời."
3,C_597208,khai thác dữ liệu: lý thuyết và thuật toán,lý thuyết thú vị nhất + thuật toán hữu ích nhất = khoa học dữ liệu phải học.
4,C_597225,máy tính đại học,"các khóa học máy tính ở trường đại học sẽ được hướng dẫn bởi tư duy tính toán, dựa trên các nguyên tắc và khái niệm máy tính, được thúc đẩy bởi các công nghệ và phương pháp mới, nhằm mục đích trau dồi khả năng tư duy đổi mới. cùng với người học, họ sẽ hiểu về khoa học máy tính, học công nghệ máy tính và làm chủ tư duy phương pháp."
5,C_597229,phân tích tài chính và ra quyết định,"khóa học này sử dụng ngôn ngữ tài chính để phân tích quá trình tạo ra giá trị của doanh nghiệp, từ đó giúp người học hiểu được các yếu tố khác nhau ảnh hưởng đến việc tạo ra giá trị, hình thành tư duy tài chính và có khả năng áp dụng nó vào các quyết định kinh doanh."
6,C_597291,viết tiếng anh nâng cao,"khóa học này có thể giúp học viên nắm vững các phương pháp và kỹ thuật viết các đoạn văn, bài tiểu luận, bố cục đồ họa và tiểu luận thực tế bằng tiếng anh, tìm hiểu các đặc điểm ngôn ngữ và phương pháp viết của bài viết tiếng anh học thuật chuẩn và đích thực, đồng thời giúp học viên nâng cao trình độ viết và viết tiếng anh. kĩ năng giao tiếp."
7,C_597307,sự thăng trầm của nhà đường,"lịch sử nhà tùy, nhà đường và năm triều đại là phần quan trọng nhất và có giá trị nhất của kiệt tác lịch sử ""zizhi tongjian"". thông qua sự hướng dẫn của giáo viên, học sinh có thể đi sâu vào văn bản cổ điển, khái quát về sự thăng trầm của nhà đường và tiếp thu trí tuệ của cuộc sống."
8,C_597365,dễ dàng nắm vững nghi thức nơi làm việc trong năm phút (mùa xuân 2019),"“nghi thức” được đặt lên hàng đầu ở nơi làm việc, và một tương lai thành công không phải là mơ ước!"
9,C_597367,trang điểm và tạo kiểu thời trang (mùa thu 2018),"đối với những người yêu cái đẹp, những nguyên tắc và phương pháp cơ bản của đời sống thời trang, phong cách trang điểm cô dâu và trang điểm thương mại sẽ được giải thích để họ có thể nhanh chóng nắm vững các kỹ năng thực tế của các phong cách trang điểm thời trang hiện nay."
10,C_645178,khóa kiểm tra 0626,312321
11,C_608132,0526 kiểm tra một khóa học,sau đây là phần giới thiệu sản phẩm
12,C_678165,kiểm tra vai trò giáo viên/trợ giảng kiểm tra trên trang web chính,đã nhận
13,C_629513,viết đô thị của văn học cổ điển,"thông qua khóa học này, chúng ta có thể đánh giá đầy đủ về nguồn gốc của văn học cũng như sự kế thừa và phát triển của tinh thần văn hóa đô thị, khi thâm nhập vào các tác phẩm văn học kinh điển, chúng ta luôn bị lay động bởi những hàm ý văn hóa đặc sắc của mỗi thành phố."
